idEscena,sceneId,pitch,yaw,text,targetPitch,targetYaw
"VIAPOL_23","VIAPOL_22","0","270","Entramos al Campus","0","345"
# DESDE "VIAPOL_22" VAMOS a "VIAPOL_21", PSICO_1 ó VOLVEMOS "VIAPOL_23"
"VIAPOL_22","VIAPOL_21","0","270","Entramos al Campus","0","75"
"VIAPOL_22","PSICO_1","0","0","Entramos al Edificio","0","330"
"VIAPOL_22","VIAPOL_23","0","85","Volvemos a Camilo José Cela","0","135"
# DESDE "VIAPOL_21"  VOLVEMOS "VIAPOL_22"
"VIAPOL_21","VIAPOL_22","-4","270","Volvemos a la puerta de entrada","0","30"
# DESDE "PSICO_1"  VAMOS "PSICO_2" VOLVEMOS "VIAPOL_22"
"PSICO_1","VIAPOL_22","0","180","Volvemos a la puerta de entrada","0","45"
"PSICO_1","PSICO_2","-5","345","Avanzamos por el pasillo de entrada","-5","105"
# DESDE "PSICO_2"  VAMOS "PSICO_3" VOLVEMOS "PSICO_1"
"PSICO_2","PSICO_1","0","0","Volvemos a la puerta de entrada","0","165"
"PSICO_2","PSICO_3","0","105","Avanzamos por el pasillo","0","105"
# DESDE "PSICO_3"  VAMOS "PSICO_4" VOLVEMOS "PSICO_2"
"PSICO_3","PSICO_2","-15","300","Volvemos al pasillo de entrada","-15","330"
"PSICO_3","PSICO_4","-10","95","Avanzamos por el pasillo hacia copisteria","0","195"
# DESDE "PSICO_4"  VAMOS "PSICO_5" VOLVEMOS "PSICO_3"
"PSICO_4","PSICO_3","0","270","Volvemos a puerta lateral del patio","0","255"
"PSICO_4","PSICO_5","0","185","Avanzamos por el pasillo hacia puerta Central patio","0","45"
# DESDE "PSICO_5"  VAMOS "PSICO_6" VOLVEMOS "PSICO_4"
"PSICO_5","PSICO_4","0","180","Volvemos al pasillo Este","0","255"
"PSICO_5","PSICO_6","0","0","Avanzamos por el pasillo Sur hacia Pasillo Oeste","0","165"
# DESDE "PSICO_6"  VAMOS "PSICO_7" VOLVEMOS "PSICO_5"
"PSICO_6","PSICO_5","0","268","Volvemos a puerta Central Patio","0","150"
"PSICO_6","PSICO_7","0","180","Avanzamos por el pasillo Oeste hacia la Biblioteca","0","45"
# DESDE "PSICO_6"  VAMOS "PSICO_7" VOLVEMOS "PSICO_5"
"PSICO_7","PSICO_6","0","268","Volvemos a puerta Central Patio","0","150"
"PSICO_7","PSICO_8","0","180","Avanzamos por el pasillo Oeste hacia la Biblioteca","0","45"
# DESDE "PSICO_7"  VAMOS "PSICO_8" VOLVEMOS "PSICO_6"
